iyear_x,imonth_x,iday_x,extended_x,country_x,region_x,provstate_x,city_x,latitude_x,longitude_x,vicinity_x,crit2_x,crit3_x,doubtterr_x,multiple_x,success_x,suicide_x,attacktype1_x,targtype1_x,target1_x,natlty1_x,gname_x,weaptype1_x,property_x,ishostkid_x,INT_LOG_x,INT_IDEO_x,INT_ANY_x,key,iyear_y,imonth_y,iday_y,extended_y,country_y,region_y,provstate_y,city_y,latitude_y,longitude_y,vicinity_y,crit2_y,crit3_y,doubtterr_y,multiple_y,success_y,suicide_y,attacktype1_y,targtype1_y,target1_y,natlty1_y,gname_y,weaptype1_y,property_y,ishostkid_y,INT_LOG_y,INT_IDEO_y,INT_ANY_y,label
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,21,7,27,0,38,2,196,0,13.445104,-88.246118,0,1,0,1,0,1,0,2,4,5281,54,11,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,12,1,31,0,72,2,22,3619,0.0,0.0,0,1,0,1,0,1,0,2,4,4011,72,15,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,13,1,17,0,5,2,421,1786,14.913611,-90.522778,0,1,0,1,0,1,0,2,4,4011,65,0,5,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,23,3,31,0,5,2,460,1925,15.365662,-90.47916,0,1,1,-9,0,1,0,2,10,21521,0,0,9,0,0,-9,-9,1,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,10,9,12,1,38,2,86,165,13.69288,-89.199161,0,1,1,-9,0,1,0,6,3,4421,54,0,13,0,1,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,18,11,12,0,38,2,196,1433,13.719546,-88.360633,0,1,0,1,0,1,0,2,4,14160,54,11,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,13,8,5,0,38,2,325,1344,13.876111,-89.359722,0,1,1,-9,0,1,0,7,1,6629,54,0,5,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,11,8,10,0,38,2,365,1132,13.536835,-88.780584,0,1,1,0,0,1,0,3,19,2333,54,0,6,1,0,-9,-9,-9,1
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,11,1,21,0,38,2,86,1439,0.0,0.0,0,1,1,0,0,1,0,2,3,2083,54,11,5,1,0,0,0,0,0
46,4,28,0,3,1,3,26553,38.252277,-122.044673,0,1,1,1,1,1,0,7,3,190,0,0,8,1,0,-9,-9,-9,0,21,7,13,0,38,2,412,1235,13.874575,-88.627779,0,1,1,0,0,1,0,3,21,18482,54,11,5,1,0,0,0,0,0
